Police District/TA,Police Area/TA,Police Station/TA,Victimisations
Northland,Far North Area,Russell,210
Northland,Far North Area,Rawene,324
Northland,Far North Area,Paihia,1195
Northland,Far North Area,Mangonui,1156
Northland,Far North Area,Kohukohu,165
Northland,Far North Area,Kerikeri,2087
Northland,Far North Area,Kawakawa,855
Northland,Far North Area,Kaitaia,3103
Northland,Far North Area,Kaikohe,2395
Northland,Far North Area,Kaeo,314
Northland,Far North Area,Houhora,156
Northland,Whangarei Area,Whangarei,15856
Northland,Whangarei Area,Waipu,179
Northland,Whangarei Area,Ruawai,88
Northland,Whangarei Area,Ruakaka,474
Northland,Whangarei Area,Onerahi CPC,887
Northland,Whangarei Area,Maungaturoto,415
Northland,Whangarei Area,Kamo CPC,2011
Northland,Whangarei Area,Hikurangi,418
Northland,Whangarei Area,Dargaville,1559
Waitemata,Auckland Motorways Area,Auckland Harbour Bridge,48
Waitemata,Waitemata East Area,Takapuna,4914
Waitemata,Waitemata East Area,North Shore Policing Centre,11970
Waitemata,Waitemata East Area,Glenfield,8886
Waitemata,Waitemata East Area,Browns Bay,3196
Waitemata,Waitemata North Area,Whangaparaoa,1914
Waitemata,Waitemata North Area,Wellsford,819
Waitemata,Waitemata North Area,Warkworth,2050
Waitemata,Waitemata North Area,Orewa,7166
Waitemata,Waitemata North Area,Mangawhai,327
Waitemata,Waitemata North Area,Kumeu/Huapai,1717
Waitemata,Waitemata North Area,Helensville,841
Waitemata,Waitemata West Area,New Lynn,10966
Waitemata,Waitemata West Area,Massey,10163
Waitemata,Waitemata West Area,Henderson,27084
Auckland City,Auckland Central Area,Waiheke Island,602
Auckland City,Auckland Central Area,Great Barrier Island,62
Auckland City,Auckland Central Area,Auckland Central,41249
Auckland City,Auckland East Area,Onehunga,10219
Auckland City,Auckland East Area,Newmarket,14002
Auckland City,Auckland East Area,Mount Wellington,15302
Auckland City,Auckland East Area,Glen Innes,8181
Auckland City,Auckland West Area,Ponsonby,10833
Auckland City,Auckland West Area,Balmoral,17967
Auckland City,Auckland West Area,Avondale,18243
Counties/Manukau,Counties Manukau Central Area,Manurewa,28059
Counties/Manukau,Counties Manukau East Area,Ormiston,16153
Counties/Manukau,Counties Manukau East Area,Howick,10370
Counties/Manukau,Counties Manukau East Area,Beachlands CCB,509
Counties/Manukau,Counties Manukau South Area,Tuakau,3516
Counties/Manukau,Counties Manukau South Area,Pukekohe,9804
Counties/Manukau,Counties Manukau South Area,Papakura,23658
Counties/Manukau,Counties Manukau West Area,Otahuhu,17288
Counties/Manukau,Counties Manukau West Area,Mangere,10088
Counties/Manukau,Counties Manukau West Area,Auckland Airport,2389
Waikato,Hamilton City Area,Hamilton East,11775
Waikato,Hamilton City Area,Hamilton Central,50026
Waikato,Waikato East Area,Whitianga,794
Waikato,Waikato East Area,Whangamata,270
Waikato,Waikato East Area,Waihi,1631
Waikato,Waikato East Area,Thames,2369
Waikato,Waikato East Area,Te Aroha,817
Waikato,Waikato East Area,Tairua,126
Waikato,Waikato East Area,Paeroa,797
Waikato,Waikato East Area,Ngatea,367
Waikato,Waikato East Area,Morrinsville,2029
Waikato,Waikato East Area,Matamata,2280
Waikato,Waikato East Area,Coromandel,275
Waikato,Waikato West Area,Te Kuiti,978
Waikato,Waikato West Area,Te Kauwhata,486
Waikato,Waikato West Area,Te Awamutu,2976
Waikato,Waikato West Area,Raglan,824
Waikato,Waikato West Area,Piopio,63
Waikato,Waikato West Area,Otorohanga,650
Waikato,Waikato West Area,Ngaruawahia,2630
Waikato,Waikato West Area,Kawhia,119
Waikato,Waikato West Area,Huntly,2902
Waikato,Waikato West Area,Cambridge,3816
Waikato,Waikato West Area,Benneydale,48
Bay Of Plenty,Eastern Bay Of Plenty Area,Whakatane,4616
Bay Of Plenty,Eastern Bay Of Plenty Area,Te Kaha,71
Bay Of Plenty,Eastern Bay Of Plenty Area,Taneatua,201
Bay Of Plenty,Eastern Bay Of Plenty Area,Opotiki,1250
Bay Of Plenty,Eastern Bay Of Plenty Area,Kawerau,1150
Bay Of Plenty,Eastern Bay Of Plenty Area,Edgecumbe,811
Bay Of Plenty,Rotorua Area,Rotorua,23971
Bay Of Plenty,Rotorua Area,Murupara,342
Bay Of Plenty,Taupo Area,Turangi,1520
Bay Of Plenty,Taupo Area,Tokoroa,2735
Bay Of Plenty,Taupo Area,Taupo,6915
Bay Of Plenty,Taupo Area,Putaruru,1490
Bay Of Plenty,Taupo Area,Mangakino,153
Bay Of Plenty,Western Bay Of Plenty Area,Te Puke,3157
Bay Of Plenty,Western Bay Of Plenty Area,Tauranga South,6790
Bay Of Plenty,Western Bay Of Plenty Area,Tauranga,13418
Bay Of Plenty,Western Bay Of Plenty Area,Papamoa,3879
Bay Of Plenty,Western Bay Of Plenty Area,Mount Maunganui,8303
Bay Of Plenty,Western Bay Of Plenty Area,Katikati,850
Eastern,Hawkes Bay Area,Waipukurau,587
Eastern,Hawkes Bay Area,Waipawa,293
Eastern,Hawkes Bay Area,Taradale,2198
Eastern,Hawkes Bay Area,Porangahau,30
Eastern,Hawkes Bay Area,Napier,14798
Eastern,Hawkes Bay Area,Havelock North,1323
Eastern,Hawkes Bay Area,Hastings,12919
Eastern,Hawkes Bay Area,Flaxmere,1498
Eastern,Hawkes Bay Area,Bay View,764
Eastern,Tairawhiti Area,Wairoa,824
Eastern,Tairawhiti Area,Tuai,45
Eastern,Tairawhiti Area,Tolaga Bay,119
Eastern,Tairawhiti Area,Tokomaru Bay,67
Eastern,Tairawhiti Area,Te Karaka,89
Eastern,Tairawhiti Area,Te Araroa,72
Eastern,Tairawhiti Area,Ruatoria,135
Eastern,Tairawhiti Area,Nuhaka,114
Eastern,Tairawhiti Area,Matawai,27
Eastern,Tairawhiti Area,Manutuke,133
Eastern,Tairawhiti Area,Kotemaori,74
Eastern,Tairawhiti Area,Gisborne,8802
Central,Manawatu Area,Woodville,277
Central,Manawatu Area,Shannon,127
Central,Manawatu Area,Pongaroa,31
Central,Manawatu Area,Palmerston North,21850
Central,Manawatu Area,Pahiatua,386
Central,Manawatu Area,Otaki,1773
Central,Manawatu Area,Norsewood,49
Central,Manawatu Area,Linton,427
Central,Manawatu Area,Levin,5582
Central,Manawatu Area,Kimbolton,87
Central,Manawatu Area,Highbury,2722
Central,Manawatu Area,Foxton,898
Central,Manawatu Area,Feilding,3930
Central,Manawatu Area,Eketahuna,91
Central,Manawatu Area,Dannevirke,1261
Central,Taranaki Area,Westown,2732
Central,Taranaki Area,Waitara,928
Central,Taranaki Area,Stratford,830
Central,Taranaki Area,Patea,186
Central,Taranaki Area,Opunake,258
Central,Taranaki Area,Okato,199
Central,Taranaki Area,New Plymouth Central,2790
Central,Taranaki Area,Mokau,58
Central,Taranaki Area,Manaia,80
Central,Taranaki Area,Inglewood,425
Central,Taranaki Area,Hawera,1749
Central,Taranaki Area,Fitzroy CPC,2616
Central,Taranaki Area,Eltham,334
Central,Taranaki Area,Bell Block,793
Central,Whanganui Area,Whanganui,8979
Central,Whanganui Area,Waverley,116
Central,Whanganui Area,Waiouru,157
Central,Whanganui Area,Taumarunui,671
Central,Whanganui Area,Taihape,421
Central,Whanganui Area,Raetihi,118
Central,Whanganui Area,Ohakune,333
Central,Whanganui Area,National Park,155
Central,Whanganui Area,Marton,487
Central,Whanganui Area,Hunterville,127
Central,Whanganui Area,Bulls,440
Wellington,Hutt Valley Area,Wainuiomata,2057
Wellington,Hutt Valley Area,Upper Hutt,7260
Wellington,Hutt Valley Area,Naenae,3897
Wellington,Hutt Valley Area,Lower Hutt,19899
Wellington,Kapiti-Mana Area,Waitangirua,5518
Wellington,Kapiti-Mana Area,Porirua Central,5329
Wellington,Kapiti-Mana Area,Kapiti,5957
Wellington,Wairarapa Area,Masterton,4617
Wellington,Wairarapa Area,Martinborough,175
Wellington,Wairarapa Area,Greytown,213
Wellington,Wairarapa Area,Featherston,482
Wellington,Wairarapa Area,Carterton,377
Wellington,Wellington Area,Wellington Central,26272
Wellington,Wellington Area,Kilbirnie,6870
Wellington,Wellington Area,Johnsonville,4853
Wellington,Wellington Area,Chatham Islands,24
Tasman,Marlborough Area,Picton,638
Tasman,Marlborough Area,Kaikoura,458
Tasman,Marlborough Area,Havelock,160
Tasman,Marlborough Area,Blenheim,4646
Tasman,Nelson Bays Area,Wakefield,245
Tasman,Nelson Bays Area,Takaka,203
Tasman,Nelson Bays Area,Richmond,3469
Tasman,Nelson Bays Area,Nelson Central,5843
Tasman,Nelson Bays Area,Murchison,111
Tasman,Nelson Bays Area,Motueka,1814
Tasman,West Coast Area,Westport,480
Tasman,West Coast Area,Ross,38
Tasman,West Coast Area,Reefton,211
Tasman,West Coast Area,Karamea,12
Tasman,West Coast Area,Hokitika,404
Tasman,West Coast Area,Haast,48
Tasman,West Coast Area,Greymouth,1229
