Police District/TA,Police Area/TA,Police Station/TA,Victimisations
Tasman,West Coast Area,Granity,59
Tasman,West Coast Area,Franz Josef,62
Canterbury,Canterbury Metro Area,Papanui,25531
Canterbury,Canterbury Metro Area,New Brighton,11588
Canterbury,Canterbury Metro Area,Lyttelton,653
Canterbury,Canterbury Metro Area,Hornby,20874
Canterbury,Canterbury Metro Area,Christchurch South,17113
Canterbury,Canterbury Metro Area,Christchurch Airport,1175
Canterbury,Canterbury Metro Area,Christchurch,30321
Canterbury,Canterbury Rural Area,Waikari,79
Canterbury,Canterbury Rural Area,Rolleston,2593
Canterbury,Canterbury Rural Area,Rangiora,3806
Canterbury,Canterbury Rural Area,Oxford,301
Canterbury,Canterbury Rural Area,Lincoln,977
Canterbury,Canterbury Rural Area,Leeston,280
Canterbury,Canterbury Rural Area,Kaiapoi,1673
Canterbury,Canterbury Rural Area,Hanmer Springs,184
Canterbury,Canterbury Rural Area,Darfield,336
Canterbury,Canterbury Rural Area,Culverden,84
Canterbury,Canterbury Rural Area,Cheviot,81
Canterbury,Canterbury Rural Area,Arthurs Pass,173
Canterbury,Canterbury Rural Area,Amberley,389
Canterbury,Canterbury Rural Area,Akaroa,136
Canterbury,Mid / South Canterbury Area,Waimate,319
Canterbury,Mid / South Canterbury Area,Twizel,121
Canterbury,Mid / South Canterbury Area,Timaru,3379
Canterbury,Mid / South Canterbury Area,Temuka,303
Canterbury,Mid / South Canterbury Area,St Andrews,69
Canterbury,Mid / South Canterbury Area,Rakaia,202
Canterbury,Mid / South Canterbury Area,Pleasant Point,75
Canterbury,Mid / South Canterbury Area,Methven,241
Canterbury,Mid / South Canterbury Area,Lake Tekapo,86
Canterbury,Mid / South Canterbury Area,Geraldine,178
Canterbury,Mid / South Canterbury Area,Fairlie,68
Canterbury,Mid / South Canterbury Area,Ashburton,1804
Southern,Otago Coastal Area,Waikouaiti,115
Southern,Otago Coastal Area,Portobello,63
Southern,Otago Coastal Area,Port Chalmers,136
Southern,Otago Coastal Area,Palmerston,94
Southern,Otago Coastal Area,Owaka,55
Southern,Otago Coastal Area,Omarama,59
Southern,Otago Coastal Area,Oamaru,1424
Southern,Otago Coastal Area,Mosgiel,1086
Southern,Otago Coastal Area,Milton,195
Southern,Otago Coastal Area,Middlemarch,23
Southern,Otago Coastal Area,Lawrence,46
Southern,Otago Coastal Area,Kurow,55
Southern,Otago Coastal Area,Kaikorai Valley,1401
Southern,Otago Coastal Area,Hampden,70
Southern,Otago Coastal Area,Green Island,428
Southern,Otago Coastal Area,Dunedin South,3856
Southern,Otago Coastal Area,Dunedin North,1511
Southern,Otago Coastal Area,Dunedin Central,3095
Southern,Otago Coastal Area,Clinton,57
Southern,Otago Coastal Area,Balclutha,394
Southern,Otago Lakes Central Area,Wanaka,1228
Southern,Otago Lakes Central Area,Roxburgh,76
Southern,Otago Lakes Central Area,Ranfurly,34
Southern,Otago Lakes Central Area,Queenstown,3176
Southern,Otago Lakes Central Area,Omakau,26
Southern,Otago Lakes Central Area,Cromwell,377
Southern,Otago Lakes Central Area,Alexandra,352
Southern,Southland Area,Wyndham,135
Southern,Southland Area,Winton,248
Southern,Southland Area,Tuatapere,74
Southern,Southland Area,Te Anau,180
Southern,Southland Area,Tapanui,43
Southern,Southland Area,Riverton,118
Southern,Southland Area,Riversdale,37
Southern,Southland Area,Otautau,52
Southern,Southland Area,Ohai,42
Southern,Southland Area,Mataura,154
Southern,Southland Area,Lumsden,63
Southern,Southland Area,Invercargill Central,7180
Southern,Southland Area,Half-Moon Bay,14
Southern,Southland Area,Gore,710
Southern,Southland Area,Bluff,164
Not Specified,Not Specified,Not Known,3
