"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
42,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",42,"n.a. ( 55)","Unknown","Unknown",NA,NA
43,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",43,"n.a. ( 56)","Unknown","Unknown",NA,NA
44,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",44,"n.a. ( 57)","Unknown","Unknown",NA,NA
45,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",45,"n.a. ( 58)","Unknown","Unknown",NA,NA
46,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",46,"n.a. ( 59)","Unknown","Unknown",NA,NA
47,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",47,"n.a. ( 60)","Unknown","Unknown",NA,NA
48,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",48,"n.a. ( 61)","Unknown","Unknown",NA,NA
49,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",49,"n.a. ( 62)","Unknown","Unknown",NA,NA
50,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",50,"n.a. ( 63)","Unknown","Unknown",NA,NA
51,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",51,"n.a. ( 64)","Unknown","Unknown",NA,NA
52,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",52,"n.a. ( 67)","Unknown","Unknown",NA,NA
53,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",53,"n.a. ( 68)","Unknown","Unknown",NA,NA
54,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",54,"n.a. ( 69)","Unknown","Unknown",NA,NA
55,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",55,"n.a. ( 70)","Unknown","Unknown",NA,NA
56,160,"NZL","New Zealand",1,"Auckland",5,"Waitakere",56,"n.a. ( 72)","Unknown","Unknown",NA,NA
