Name,No,Pop1975,Pop1982,Pop1990,Pop1999,Pop2007,Pop2015,Pop2021
Paris 1er Arrondissement (Louvre),1,"22,793","18,509","18,360","16,888","17,915","16,545","15,919"
Paris 2e Arrondissement (Bourse),2,"26,328","21,203","20,738","19,585","21,745","20,796","21,119"
Paris 3e Arrondissement (Temple),3,"41,706","36,094","35,102","34,248","34,576","35,049","32,793"
Paris 4e Arrondissement (Hôtel-de-Ville),4,"40,466","33,990","32,226","30,675","28,572","27,146","28,324"
Paris 5e Arrondissement (Panthéon),5,"67,668","62,173","61,222","58,849","62,664","59,333","56,841"
Paris 6e Arrondissement (Luxembourg),6,"56,331","48,905","47,891","44,919","45,332","42,428","40,209"
Paris 7e Arrondissement (Palais-Bourbon),7,"74,250","67,461","62,939","56,985","57,410","54,133","47,947"
Paris 8e Arrondissement (Élysée),8,"52,999","46,403","40,814","39,314","39,165","36,694","35,123"
Paris 9e Arrondissement (Opéra),9,"70,270","64,134","58,019","55,838","58,632","59,408","58,951"
Paris 10e Arrondissement (Enclos-St-Laurent),10,"94,046","86,970","90,083","89,612","93,373","91,770","83,543"
Paris 11e Arrondissement (Popincourt),11,"159,317","146,931","154,165","149,102","151,421","149,834","142,583"
Paris 12e Arrondissement (Reuilly),12,"140,900","138,015","130,257","136,591","142,425","142,340","140,954"
Paris 13e Arrondissement (Gobelins),13,"163,313","170,818","171,098","171,533","179,213","183,216","178,350"
Paris 14e Arrondissement (Observatoire),14,"149,137","138,596","136,574","132,844","134,382","139,992","136,368"
Paris 15e Arrondissement (Vaugirard),15,"231,301","225,596","223,940","225,362","232,247","234,994","227,746"
Paris 16e Arrondissement (Passy),16,"193,590","179,446","169,863","161,773","159,706","165,487","162,061"
Paris 17e Arrondissement (Batignolles-Monceau),17,"186,293","169,513","161,935","160,860","164,673","168,533","164,413"
Paris 18e Arrondissement (Butte-Montmartre),18,"208,970","186,866","187,657","184,586","191,523","197,580","188,446"
Paris 19e Arrondissement (Buttes-Chaumont),19,"144,357","162,649","165,062","172,730","184,038","185,654","181,616"
Paris 20e Arrondissement (Ménilmontant),20,"175,795","171,971","184,478","182,952","194,018","195,556","189,805"
